Wavelength,Left Raw,Left Corrected,Left Fit,Right Raw,Right Corrected,Right Fit
415.1788280877461,43.0,283903526707.09796,69175909.07235433,126.0,1898351602.6911247,2526693825.705568
415.6047264007525,24.0,165931463770.21024,70392002.79675555,88.0,1534898569.7418666,2552049998.1456847
416.030618305586,10.0,67913119117.67607,71626524.95276923,175.0,2282524377.3398976,2577594023.947183
416.45650379654194,-4.0,31423076459.01404,72879705.8108262,134.0,2073112957.3008099,2603326678.520559
416.8823828679156,20.0,143768313838.81863,74151777.81451602,136.0,2126350608.968926,2629248736.0174365
417.30825551400267,10.0,75385206427.14455,75442975.59257133,229.0,2717256513.5884995,2655360969.3023396
417.73412172909883,15.0,131088843689.41498,76753535.97083269,171.0,1987585224.2611804,2681664149.924525
418.1599815074997,32.0,236521291874.42856,78083697.98418987,217.0,2334145434.983083,2708159048.089855
418.58583484350254,9.0,65325817282.815475,79433702.88851222,181.0,2297910499.038263,2734846432.6329293
419.0116817314022,39.0,246915971283.95166,80803794.17253476,212.0,2344842250.88625,2761727070.988877
419.43752216549615,31.0,200755342553.7459,82194217.56975314,204.0,2398558845.8389196,2788801729.165815
419.8633561400809,39.0,215421729770.49185,83605221.07026216,227.0,2347668166.6655626,2816071171.7168307
420.28918364945287,38.0,199632558731.12674,85037054.93259187,237.0,2657116990.2007675,2843536161.712383
420.71500468791066,34.0,190235849873.20132,86489971.69551271,223.0,2787360920.2321906,2871197460.7127604
421.1408192497496,-4.0,21878801721.355022,87964226.18979868,200.0,2371247053.2201695,2899055828.7403035
421.5666273292686,16.0,96345518303.65683,89460075.54999517,243.0,2552642701.4210796,2927112024.2523074
421.99242892076495,47.0,241884546819.7087,90977779.22612414,252.0,2508228518.4530854,2955366804.113378
422.4182240185369,91.0,474220326365.2533,92517598.995384,299.0,2830667859.616866,2983820923.568334
422.84401261688146,81.0,397141580587.9676,94079798.97380494,296.0,2739351511.509058,3012475136.214888
423.2697947100985,73.0,372766836403.80817,95664645.62789121,293.0,2528006045.3003736,3041330193.9768224
423.6955702924852,50.0,261386704202.37964,97272407.78620136,224.0,2356871132.9394736,3070386847.076617
424.1213393583408,37.0,189854881075.08377,98903356.65093458,311.0,2836906923.3943305,3099645844.0089107
424.5471019019644,18.0,93296621042.38441,100557765.8094519,307.0,3144870182.9063535,3129107931.5135374
424.97285791765466,20.0,102041662261.2036,102235911.24577582,265.0,2416589032.5424595,3158773854.5487747
425.3986073997109,21.0,101136642743.35587,103938071.3520573,256.0,2358024245.4293838,3188644356.264858
425.82435034243326,37.0,183255375463.46674,105664526.94000567,258.0,2437243870.6293607,3218720177.9775057
426.2500867401211,25.0,121861363314.62059,107415561.2522716,290.0,2810219086.7482114,3249002059.1413374
426.67581658707377,14.0,66565724002.019684,109191459.97380261,337.0,3230992239.3590612,3279490737.3236823
427.10153987759185,48.0,230063014149.76242,110992511.24316432,357.0,3702431537.2903595,3310186948.178485
427.5272566059757,34.0,171412144815.8201,112819005.66380823,387.0,3523917820.211591,3341091425.4200587
427.9529667665255,19.0,100102324447.24283,114671236.315308,325.0,3242909267.9030514,3372204900.797171
428.37867035354253,5.0,25309399959.90725,116549498.76455642,352.0,3099690413.5640407,3403528104.0672307
428.80436736132714,-34.0,177603158055.03714,118454091.07691202,368.0,3179472518.911303,3435061762.970395
429.2300577841807,-22.0,104425077890.01166,120385313.82731164,365.0,3392448016.109319,3466806603.2040243
429.65574161640467,-2.0,9832658210.491085,122343470.11133575,388.0,3479417214.6778193,3498763348.3971457
430.08141885230003,8.0,39000250405.26036,124328865.55622298,401.0,3425244055.302534,3530932720.0848927
430.50708948616904,29.0,130959004467.64746,126341808.3318568,370.0,3177973494.7651176,3563315437.683393
430.93275351231364,-35.0,157768826433.2052,128382609.16168433,420.0,3634980253.439491,3595912218.4644356
431.3584109250355,28.0,119440271096.62564,130451581.33360156,420.0,3516162244.4361525,3628723777.530403
431.7840617186373,20.0,84333667824.24857,132549040.71078916,421.0,3441692418.9923234,3661750827.7893486
432.20970588742176,51.0,221446955488.9346,134675305.742498,437.0,3198702637.332862,3694994079.9301863
432.63534342569153,36.0,159039562945.98877,136830697.47478142,399.0,3331610713.317639,3728454242.3978524
433.06097432774897,11.0,50947129767.75854,139015539.56117868,401.0,3092829879.625051,3762132021.3687377
433.48659858789796,-11.0,48488147109.26466,141230158.27336285,430.0,3233670065.412192,3796028120.726396
433.9122162004422,1.0,4617369495.189732,143474882.5117083,384.0,3135527159.660458,3830143242.036941
434.3378271596841,46.0,191367898511.70065,145750043.81581724,421.0,3311904687.181955,3864478084.5248237
434.7634314599282,29.0,113253115883.83893,148055976.37501568,422.0,3316432480.910738,3899033345.048988
435.18902909547836,14.0,57353656105.529236,150393017.03875148,472.0,3558947917.8781576,3933809718.0785975
435.6146200606391,18.0,73448358261.40761,152761505.32697606,533.0,3829149710.861741,3968807895.6693892
