Wavelength,Left Raw,Left Corrected,Left Fit,Right Raw,Right Corrected,Right Fit
366.58586213660897,327.0,2223496.409903772,2223496.409903772,324.0,496421786.03147984,496421786.03147984
367.0124535402573,-52.0,2281215.1194303483,2281215.1194303483,-57.0,503630511.09471893,503630511.09471893
367.43903918724715,-62.0,2340276.259937674,2340276.259937674,-78.0,510923266.4674615,510923266.4674615
367.8656190718538,14.0,2400707.1967128604,2400707.1967128604,1.0,518300752.50721097,518300752.50721097
368.2921931883545,8.0,2462535.7672921773,2462535.7672921773,-13.0,525763672.32113826,525763672.32113826
368.71876153102374,10.0,2525790.2879367196,2525790.2879367196,-18.0,533312731.74924964,533312731.74924964
369.14532409413914,65.0,2590499.5601702672,2590499.5601702672,76.0,540948639.3475443,540948639.3475443
369.57188087197596,3.0,2656692.8773761718,2656692.8773761718,-41.0,548672106.3707411,548672106.3707411
369.99843185881105,-36.0,2724400.031456621,2724400.031456621,-62.0,556483846.7549673,556483846.7549673
370.42497704892116,-21.0,2793651.3195521124,2793651.3195521124,-9.0,564384577.1001668,564384577.1001668
370.85151643658315,-52.0,2864477.5508223977,2864477.5508223977,-45.0,572375016.6522877,572375016.6522877
371.2780500160738,-3.0,2936910.0532888235,2936910.0532888235,1.0,580455887.2853057,580455887.2853057
371.7045777816706,46.0,3010980.680738241,3010980.680738241,3.0,588627913.4830339,588627913.4830339
372.13109972765005,8.0,3086721.8196881483,3086721.8196881483,-44.0,596891822.3206979,596891822.3206979
372.55761584828963,-26.0,3164166.3964143223,3164166.3964143223,-26.0,605248343.4463687,605248343.4463687
372.98412613786803,27.0,3243347.884039884,3243347.884039884,31.0,613698209.0621771,613698209.0621771
373.4106305906617,-7.0,3324300.309685892,3324300.309685892,1.0,622242153.9052554,622242153.9052554
373.8371292009485,-34.0,3407058.2616851293,3407058.2616851293,-13.0,630880915.2286177,630880915.2286177
374.26362196300784,-10.0,3491656.8968576537,3491656.8968576537,38.0,639615232.781775,639615232.781775
374.69010887111614,-56.0,3578131.9478476723,3578131.9478476723,-43.0,648445848.7910751,648445848.7910751
375.11658991955284,-12.0,3666519.730524934,3666519.730524934,-39.0,657373507.9400574,657373507.9400574
375.5430651025958,10.0,3756857.1514464575,3756857.1514464575,-19.0,666398957.3493984,666398957.3493984
375.9695344145244,29.0,3849181.715382579,3849181.715382579,-20.0,675522946.5568373,675522946.5568373
376.39599784961695,30.0,3943531.5329042356,3943531.5329042356,22.0,684746227.4967912,684746227.4967912
376.8224554021521,21.0,4039945.3280341025,4039945.3280341025,-17.0,694069554.4798671,694069554.4798671
377.24890706640963,-52.0,4138462.445960256,4138462.445960256,-23.0,703493684.1721797,703493684.1721797
377.67535283666854,-53.0,4239122.860812135,4239122.860812135,-16.0,713019375.5744421,713019375.5744421
378.1017927072078,-4.0,4341967.183500054,4341967.183500054,-16.0,722647390.0009041,722647390.0009041
378.5282266723076,-15.0,4447036.669617919,4447036.669617919,-17.0,732378491.0581627,732378491.0581627
378.9546547262474,1.0,4554373.227407884,4554373.227407884,-5.0,742213444.6236883,742213444.6236883
379.38107686330716,-19.0,4664019.425789332,4664019.425789332,-22.0,752153018.8242779,752153018.8242779
379.8074930777671,-11.0,4776018.502450155,4776018.502450155,-40.0,762197984.0142763,762197984.0142763
380.233903363907,29.0,4890414.372001221,4890414.372001221,-32.0,772349112.75364,772349112.75364
380.66030771600776,2.0,5007251.634194601,5007251.634194601,-10.0,782607179.7858534,782607179.7858534
381.0867061283494,-8.0,5126575.582204026,5126575.582204026,-2.0,792972962.0156341,792972962.0156341
381.5130985952133,37.0,5248432.210969428,5248432.210969428,-6.0,803447238.4865264,803447238.4865264
381.9394851108795,-45.0,5372868.225603601,5372868.225603601,20.0,814030790.3582506,814030790.3582506
382.36586566962956,26.0,5499931.049863458,5499931.049863458,-39.0,824724400.884014,824724400.884014
382.7922402657445,-23.0,5629668.83468293,5629668.83468293,-33.0,835528855.3875124,835528855.3875124
383.2186088935054,-41.0,5762130.466769901,5762130.466769901,-34.0,846444941.239888,846444941.239888
383.6449715471944,-39.0,5897365.577266391,5897365.577266391,-28.0,857473447.8364975,857473447.8364975
384.07132822109264,-41.0,6035424.550470761,6035424.550470761,-22.0,868615166.5734708,868615166.5734708
384.4976789094821,-21.0,6176358.532624448,6176358.532624448,3.0,879870890.8242109,879870890.8242109
384.9240236066448,-13.0,6320219.44076047,6320219.44076047,-14.0,891241415.9156677,891241415.9156677
385.3503623068631,-15.0,6467059.971615645,6467059.971615645,16.0,902727539.1044888,902727539.1044888
385.7766950044189,-21.0,6616933.610605013,6616933.610605013,1.0,914330059.5530149,914330059.5530149
386.2030216935947,-18.0,6769894.640860065,6769894.640860065,-49.0,926049778.3051522,926049778.3051522
386.62934236867414,2.0,6925998.152329352,6925998.152329352,-2.0,937887498.2621046,937887498.2621046
387.05565702393864,-10.0,7085300.050940266,7085300.050940266,-49.0,949844024.1578276,949844024.1578276
387.4819656536719,37.0,7247857.067826886,7247857.067826886,-1.0,961920162.5346292,961920162.5346292
387.90826825215714,1.0,7413726.768616879,7413726.768616879,6.0,974116721.7183216,974116721.7183216
388.3345648136777,-1.0,7582967.562782648,7582967.562782648,-6.0,986434511.793435,986434511.793435
388.76085533251637,-7.0,7755638.713054461,7755638.713054461,-26.0,998874344.578206,998874344.578206
389.18713980295803,57.0,7931800.344896241,7931800.344896241,25.0,1011437033.5995151,1011437033.5995151
389.61341821928545,11.0,8111513.456041951,8111513.456041951,-31.0,1024123394.0675546,1024123394.0675546
